PC.MC_ID,PC_by_affi_type,MC_by_affi_type
1,talk,talk
2,talk,talk
3,NA,NA
4,talk,talk
5,NA,invite
6,offer,offer
7,NA,NA
8,NA,invite
9,talk,talk
10,talk,invite
11,NA,NA
12,touch,join
13,touch,touch
14,NA,NA
15,talk,talk
16,talk,talk
17,talk,talk
18,talk,talk
19,talk,talk
20,talk,talk
21,symbolic,talk
22,touch,touch
23,talk,talk
24,invite,talk
25,touch,join
26,talk,talk
27,talk,talk
28,talk,talk
29,join,talk
30,talk,talk
31,NA,invite
32,offer,symbolic
33,touch,touch
34,talk,talk
35,NA,NA
36,NA,NA
37,touch,join
38,talk,talk
39,touch,join
40,invite,talk
41,join,talk
42,talk,talk
43,join,talk
44,offer,symbolic
45,touch,join
46,NA,invite
47,talk,talk
48,talk,invite
49,touch,join
50,touch,join
51,NA,invite
52,talk,talk
53,invite,talk
54,NA,NA
55,touch,touch
56,touch,join
57,NA,invite
58,NA,NA
59,talk,talk
60,invite,talk
61,NA,NA
62,talk,talk
63,talk,talk
64,NA,NA
65,invite,talk
66,join,talk
67,touch,join
68,NA,NA
69,invite,talk
70,touch,touch
71,symbolic,talk
72,touch,join
73,join,talk
74,join,talk
75,touch,join
76,invite,talk
77,NA,NA
78,invite,symbolic
79,join,talk
80,symbolic,talk
81,join,talk
82,talk,talk
83,talk,talk
84,talk,talk
85,talk,talk
86,talk,talk
87,touch,join
88,touch,join
89,touch,join
90,talk,talk
91,talk,talk
92,invite,talk
93,touch,join
94,invite,talk
95,join,talk
96,talk,talk
97,NA,invite
98,NA,NA
99,NA,NA
100,talk,talk
101,talk,talk
102,NA,NA
103,NA,NA
104,NA,NA
105,touch,join
106,NA,NA
107,talk,talk
108,NA,invite
109,join,talk
110,touch,touch
111,talk,talk
112,NA,invite
113,join,talk
114,touch,join
115,talk,talk
116,symbolic,talk
117,touch,join
118,touch,touch
119,NA,invite
120,talk,talk
121,invite,talk
122,NA,NA
123,touch,touch
124,NA,invite
125,touch,touch
126,touch,join
127,talk,talk
128,symbolic,talk
129,symbolic,talk
130,talk,talk
131,talk,talk
132,NA,NA
133,talk,talk
134,touch,touch
135,join,talk
136,touch,touch
137,touch,touch
138,touch,join
139,offer,offer
140,symbolic,talk
141,touch,touch
142,invite,talk
143,invite,talk
144,join,talk
145,NA,NA
146,talk,talk
147,invite,symbolic
148,talk,talk
149,join,talk
150,NA,NA
151,talk,talk
152,invite,talk
153,invite,talk
154,join,talk
155,NA,NA
156,invite,symbolic
157,touch,touch
158,talk,talk
159,invite,talk
160,talk,talk
161,invite,talk
162,talk,talk
163,talk,talk
164,symbolic,talk
165,NA,NA
166,talk,talk
167,NA,NA
168,touch,join
169,talk,talk
170,touch,join
171,join,talk
172,talk,talk
173,touch,join
174,touch,join
175,NA,NA
176,NA,NA
177,NA,invite
178,talk,talk
179,join,talk
180,offer,symbolic
181,join,talk
182,touch,touch
183,symbolic,talk
184,talk,talk
185,touch,join
186,NA,NA
187,talk,talk
188,NA,invite
189,invite,talk
190,talk,talk
191,symbolic,talk
192,talk,talk
193,offer,symbolic
194,talk,talk
195,touch,touch
196,NA,NA
197,invite,talk
198,symbolic,talk
199,invite,talk
200,talk,talk
201,offer,offer
202,invite,talk
203,symbolic,talk
204,join,talk
205,offer,offer
206,symbolic,talk
207,talk,talk
208,touch,join
209,NA,NA
210,touch,offer
211,touch,touch
212,NA,NA
213,talk,talk
214,touch,join
215,talk,talk
216,NA,NA
217,invite,talk
218,join,talk
219,touch,join
220,talk,talk
221,talk,talk
222,invite,talk
223,talk,talk
224,invite,talk
225,join,talk
226,talk,talk
227,talk,talk
228,talk,invite
229,NA,NA
230,talk,talk
231,invite,talk
232,NA,NA
233,talk,talk
234,touch,touch
235,talk,talk
236,touch,join
237,touch,join
238,talk,talk
239,NA,NA
240,touch,touch
241,offer,offer
242,symbolic,talk
243,invite,talk
244,NA,NA
245,talk,invite
246,NA,NA
247,NA,invite
248,talk,talk
249,touch,join
250,touch,offer
251,offer,offer
252,talk,talk
253,talk,talk
254,touch,touch
255,touch,join
256,touch,join
257,touch,join
258,NA,NA
259,invite,talk
260,talk,talk
261,join,talk
262,talk,talk
263,talk,talk
264,invite,talk
265,NA,NA
266,touch,join
267,NA,NA
268,NA,NA
269,touch,touch
270,talk,talk
271,talk,talk
272,touch,touch
273,invite,symbolic
274,join,talk
275,talk,talk
276,touch,join
277,NA,invite
278,invite,talk
279,invite,talk
280,NA,NA
281,talk,talk
282,talk,talk
283,talk,talk
284,touch,join
285,talk,talk
286,offer,offer
287,join,talk
288,NA,invite
289,talk,talk
290,symbolic,talk
291,touch,join
292,touch,join
293,touch,touch
294,touch,join
295,talk,talk
296,talk,talk
297,touch,join
298,NA,NA
299,talk,talk
300,touch,touch
301,invite,talk
302,offer,offer
303,NA,NA
304,talk,invite
305,talk,talk
306,talk,talk
307,invite,talk
308,talk,talk
309,join,talk
310,talk,talk
311,join,talk
312,touch,join
313,talk,talk
314,NA,NA
315,talk,talk
316,touch,touch
317,join,talk
318,NA,invite
319,symbolic,talk
320,NA,NA
321,symbolic,talk
322,NA,invite
323,invite,talk
324,touch,join
325,talk,talk
326,NA,invite
327,NA,NA
328,touch,touch
329,NA,NA
330,talk,talk
331,talk,talk
332,offer,symbolic
333,talk,talk
334,touch,join
335,talk,talk
336,talk,talk
337,talk,talk
338,talk,talk
339,NA,invite
340,talk,talk
341,NA,NA
342,invite,talk
343,NA,NA
344,NA,NA
345,talk,talk
346,touch,join
347,join,talk
348,talk,talk
349,talk,invite
350,talk,invite
351,talk,talk
352,NA,NA
353,talk,talk
354,talk,talk
355,talk,talk
356,talk,invite
357,touch,touch
358,touch,join
359,talk,talk
360,talk,talk
361,NA,invite
362,NA,invite
363,talk,talk
364,NA,invite
365,invite,talk
366,talk,talk
367,touch,join
368,invite,talk
369,touch,touch
370,talk,talk
371,touch,touch
372,symbolic,talk
373,talk,talk
374,NA,invite
375,talk,talk
376,talk,talk
377,talk,talk
378,touch,touch
379,invite,talk
380,talk,talk
381,symbolic,talk
382,touch,join
383,NA,invite
384,talk,talk
