cohort,child,by_a3,by_d3,by_n3,by_a4,by_d4,by_n4,by_a5,by_d5,by_n5
C1,C1-1,2,1,1,2,1,1,NA,NA,NA
C1,C1-2,3,1,0,2,3,0,NA,NA,NA
C1,C1-3,2,2,1,3,2,1,NA,NA,NA
C1,C1-4,0,0,1,0,0,0,NA,NA,NA
C1,C1-5,1,1,1,2,2,1,NA,NA,NA
C1,C1-6,0,0,0,1,0,0,NA,NA,NA
C1,C1-7,2,1,1,3,2,0,NA,NA,NA
C1,C1-8,1,0,0,1,2,0,NA,NA,NA
C1,C1-9,1,2,0,3,2,0,NA,NA,NA
C1,C1-10,2,3,2,2,4,1,NA,NA,NA
C1,C1-11,1,1,0,2,1,0,NA,NA,NA
C1,C1-12,2,1,1,2,0,0,NA,NA,NA
C1,C1-13,0,0,0,0,0,1,NA,NA,NA
C1,C1-14,2,0,0,3,0,0,NA,NA,NA
C2,C2-1,NA,NA,NA,0,1,1,1,0,1
C2,C2-2,NA,NA,NA,4,3,0,5,2,1
C2,C2-3,NA,NA,NA,3,2,0,2,3,0
C2,C2-4,NA,NA,NA,2,2,0,3,2,0
C2,C2-5,NA,NA,NA,1,1,0,1,1,1
C2,C2-6,NA,NA,NA,3,1,1,4,2,0
C2,C2-7,NA,NA,NA,0,2,0,1,1,0
C2,C2-8,NA,NA,NA,1,2,1,3,2,0
C2,C2-9,NA,NA,NA,2,1,1,3,2,0
C2,C2-10,NA,NA,NA,4,3,0,5,2,1
C2,C2-11,NA,NA,NA,0,2,0,2,1,1
C2,C2-12,NA,NA,NA,1,0,0,0,0,0
C2,C2-13,NA,NA,NA,0,0,0,1,0,0
C2,C2-14,NA,NA,NA,2,1,0,2,0,0
C2,C2-15,NA,NA,NA,1,2,1,3,2,0
C2,C2-16,NA,NA,NA,0,0,0,0,1,0
C2,C2-17,NA,NA,NA,2,1,0,4,0,0
C2,C2-18,NA,NA,NA,1,1,0,1,0,0
C2,C2-19,NA,NA,NA,3,3,0,4,3,0
C2,C2-20,NA,NA,NA,2,2,0,3,0,0
C2,C2-21,NA,NA,NA,3,2,0,4,3,0
C2,C2-22,NA,NA,NA,2,2,1,3,2,0
