name,class,r1a,r2a,r3a,r4a,r5a,t1a,t2a,t3a,t4a,t5a,k1a,k2a,k3a,k4a,k5a,s1a,s2a,s3a,r1b,r2b,r3b,r4b,r5b,t1b,t2b,t3b,t4b,t5b,k1b,k2b,k3b,k4b,k5b,s1b,s2b,s3b
s1,1,3,3,2,2,3,4,4,5,4,5,2,3,4,3,3,4,4,3,3,3,3,2,2,5,5,5,4,5,4,3,4,4,4,4,4,4
s2,1,2,2,3,2,2,5,4,3,5,4,3,4,3,3,4,3,4,2,2,2,2,2,2,5,5,4,4,4,4,4,4,3,4,4,5,2
s3,1,1,2,1,1,1,5,4,2,4,2,3,3,3,3,3,3,3,3,1,1,2,1,2,4,4,3,3,4,3,3,3,3,3,3,2,3
s4,1,4,2,4,2,2,4,4,2,2,4,2,4,2,2,2,2,2,4,4,3,3,3,4,4,4,4,3,4,4,4,3,4,4,3,3,4
s5,1,3,4,4,3,4,3,3,4,3,4,3,3,3,3,4,5,3,5,4,3,4,3,4,4,3,4,4,3,3,3,4,4,4,5,5,5
s6,1,2,2,2,2,1,4,5,4,4,5,4,2,5,5,4,2,2,1,4,2,2,2,2,4,5,4,2,5,4,4,4,5,4,4,2,4
s7,1,2,3,2,2,4,5,5,4,5,4,4,2,3,3,3,2,4,2,3,2,2,3,1,5,5,5,5,5,3,4,4,4,5,4,3,5
s8,1,2,3,2,2,2,5,5,5,5,5,4,3,4,3,3,2,3,4,2,2,2,2,2,5,5,5,5,5,5,4,4,4,4,4,5,4
s9,1,2,3,1,1,4,4,5,2,2,2,2,1,3,3,2,4,1,2,2,3,3,2,3,5,4,2,5,5,4,4,4,5,5,4,4,4
s10,1,3,4,3,2,2,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,3,5,4,5,4,5,5,4,5,4,5,4,4,4
s11,1,3,3,3,3,2,5,5,4,4,5,4,3,4,4,3,3,2,4,3,4,3,3,2,5,4,5,5,5,5,4,5,3,4,4,4,2
s12,1,2,2,2,2,2,5,5,4,4,5,4,3,4,4,4,3,2,4,3,3,2,2,2,5,4,5,5,5,5,4,4,4,5,5,4,4
s13,1,2,3,2,2,2,5,4,4,4,4,3,3,3,3,3,3,4,2,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,3,4,3
s14,1,1,4,4,3,4,4,5,4,3,5,4,4,4,4,3,3,3,3,2,3,4,4,2,5,5,4,3,5,4,4,4,4,3,4,4,4
