studentid,sex,age,bis1,bis2,bis3,bis4,bis5,bis6,bis7,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,bas11,bas12,bas13,a01_t1,a02_t1,a03_t1,a04_t1,a05_t1,a06_t1,a07_t1,a08_t1,a09_t1,a10_t1,a11_t1,a12_t1,a13_t1,a14_t1,a15_t1,a16_t1,a17_t1,a18_t1,a19_t1,a20_t1,d01_t1,d02_t1,d03_t1,d04_t1,d05_t1,d06_t1,d07_t1,d08_t1,d09_t1,d10_t1,d11_t1,d12_t1,d13_t1,d14_t1,d15_t1,d16_t1,d17_t1,d18_t1,d19_t1,d20_t1,a01_t2,a02_t2,a03_t2,a04_t2,a05_t2,a06_t2,a07_t2,a08_t2,a09_t2,a10_t2,a11_t2,a12_t2,a13_t2,a14_t2,a15_t2,a16_t2,a17_t2,a18_t2,a19_t2,a20_t2,d01_t2,d02_t2,d03_t2,d04_t2,d05_t2,d06_t2,d07_t2,d08_t2,d09_t2,d10_t2,d11_t2,d12_t2,d13_t2,d14_t2,d15_t2,d16_t2,d17_t2,d18_t2,d19_t2,d20_t2
1,0,19,2,4,4,3,4,2,3,3,4,4,4,4,3,4,4,2,4,4,3,4,2,2,2,2,3,3,1,1,1,3,3,2,1,3,3,1,1,3,2,3,2,3,1,1,2,3,1,1,2,3,3,2,2,1,1,3,2,2,1,2,3,3,2,2,3,3,2,2,2,4,3,4,2,4,4,1,4,3,4,4,3,4,1,2,2,3,1,1,2,3,4,3,1,1,2,3,1,2,1,2
2,1,20,3,3,2,2,3,4,2,2,4,4,4,4,4,4,3,4,2,4,2,3,2,2,1,1,2,2,1,1,1,2,3,1,1,3,3,1,1,2,1,3,2,4,1,1,1,2,2,1,1,1,1,2,3,3,1,2,3,2,1,1,3,3,1,2,4,4,3,2,2,4,3,3,1,4,4,2,4,4,3,3,2,4,1,2,2,2,1,1,1,2,4,2,2,4,2,2,4,4,3,4
3,1,20,4,2,4,4,4,1,3,2,4,1,4,4,1,4,4,4,3,4,4,2,1,1,1,1,4,4,1,4,1,2,4,3,1,4,2,1,2,2,4,4,3,2,3,2,2,4,3,1,1,2,2,3,3,4,3,1,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0,20,3,4,4,4,4,3,4,3,4,3,4,3,2,2,3,2,3,3,3,3,2,2,2,1,3,3,2,2,1,3,3,2,1,3,3,1,2,3,2,3,2,2,3,1,1,2,1,1,1,2,3,1,1,3,1,3,2,3,1,3,3,3,1,1,4,4,1,1,1,3,3,1,1,3,3,1,1,3,1,3,2,3,2,1,1,2,1,1,1,2,3,2,1,3,1,3,3,3,1,3
5,1,20,1,3,3,3,1,2,3,4,4,2,4,4,3,2,3,2,4,3,4,4,3,3,2,1,3,4,1,2,2,4,3,2,1,4,3,1,2,4,2,4,2,4,1,2,1,1,2,1,1,3,4,2,1,1,2,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,3,3,3,2,2,3,3,2,3,3,2,3,3,2,2,3,3,2,1,1,2,2,2,1,1,4,3,2,3,2,4,3,3,1,3
8,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,3,4,2,2,2,4,4,4,1,3,3,1,4,3,2,2,2,4,2,3,1,1,1,2,1,2,4,3,3,2,1,4,4,4,2,2
10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
